Name,Photo,Contact,Role,Institution,Institution Description,Festival Role,Attendance,Bio,Conversation Tip,Institution Link
Ida Jahr,,,Workshop leader,NO Norway,,Workshop – NE #00: New Embeddings of/for Artistic Intelligence,Definitely,"Ida Jahr is Deputy Director of MishMash, the Norwegian Centre for AI and Creativity, and an associate professor of English Literature and Culture at the University of Inland Norway. Her research spans American cultural history, digital culture and histories of knowledge at the intersection of culture and technology, with her current work focusing on AI and the mind-body relationship in film.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Ignacio Mora Pérez,,,Artist / Contributor,ES,,Project – Action & Effect,Probably,"Contributor to “Action & Effect”: Action & Effect imagines human reproduction as a river delta of flows, decisions and consequences. Centered on gastrulation, it uses vibrating water shaped by data and audience interaction as a living metaphor for uncertainty, transformation and life emerging into form.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Ilaria Hoppe,,http://ku-linz.at/kunstwissenschaft/hoppe,Speaker,DE Germany,,Lecture & Talk – Robertina Šebjanič – Journal from the TARA expedition vessel: Echoes of the Abyss,Definitely,"Ilaria Hoppe is Professor of Art History at the Catholic Private University Linz, where she has led the Institute for Art in Contemporary Contexts and Media since 2016. She teaches art and visual culture from the early modern period to the present. Her research focuses on urban art, gender studies and early modern art and culture, particularly in relation to Italy and broader European contexts.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,http://ku-linz.at/kunstwissenschaft/hoppe
Ilja Mirsky,,,Conference contributor,DE,,Conference – Academic Session: Research Track,Definitely,Contributor to “Academic Session: Research Track”: The Academic Session: Research Papers presents six contributions selected through the Expanded Conference Open Call.,Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
IMPAKT,,,Artist / Contributor,NL,,Project – CODE 2026: I’d prefer not to,Probably,"Contributor to “CODE 2026: I’d prefer not to”: I’d prefer not to is an interactive installation exposing the labour given by humans to train machines, reversing the present mythological representation of machines working for humans. It uses CAPTCHAs in an attempt to unveil part of the labour hidden behind everyday online act…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Imrich Vasko,,,Artist / Contributor,SK,,Project – Remote Twins,Probably,"Contributor to “Remote Twins”: Remote Twins is an installation connecting biodiversity monitoring with architecture for non-human actors. It consists of two parts: one in a natural environment, equipped with a camera detecting and identifying insects, and the other in the exhibition space, visualizing data co…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
INFERSTUDIO,,https://www.instagram.com/inferstudio,Workshop leader,"AU Australia, GB United Kingdom",,Workshop – Prototyping Fictions: Workshop and Screening of Ocean Futurisms,Definitely,"INFERSTUDIO is a digital world-building and investigative design studio, which creates immersive films and images that imagine fictional futures, both aspirational and cautionary. They also develop digital visualizations that interpret and communicate complex environmental realities from our world today.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://www.inferstudio.com
Ingeborg Bachmann,,,Artist / Contributor,AT,,Project – Die gestundete Zeit,Probably,"Contributor to “Die gestundete Zeit”: The Austrian writer Ingeborg Bachmann wrote Die gestundete Zeit in 1953, during a period of apparent renewal and economic prosperity. Bachmann wrote against the spirit of the times: against the silence surrounding war, crime and guilt and against a language deeply scarred by the…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Ingeborg Reichle,,,Networking host / guest,DE Germany,,"Networking Event – NaturArchy: Curating Across Art, Science, Policymaking",Definitely,"Ingeborg Reichle, PhD, is a contemporary art historian, cultural theorist and sci-art curator. Her research spans critical media studies, new media art history, computational aesthetics and artistic engagements with emerging technologies, from biotechnology and synthetic biology to systemic risks and climate change. Before joining HKUST(GZ) in 2025 she served as Chair and Full Professor in the Department of Media Theory at the University of Applied Arts Vienna, Austria.",Use the networking moment to introduce hosq and ask about partnership frameworks.,
Ingrid Graz,,,Artist / Contributor,AT,,Project – BioCore,Probably,"Contributor to “BioCore”: BioCore is a kinetic sculpture that bridges the living and the machine. This soft, robotic sculpture features an artificial core wrapped in living vegetation, blending nature with technology.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Ioana Vreme Moser,,https://www.instagram.com/ioana.vreme.moser/,Panelist,DE Germany,,Panel Discussion – Fluid Media,Definitely,"Ioana Vreme Moser is a Romanian sound artist interested in hardware electronics, speculative research and tactile experimentation. In her practice, she uses rough electronic processes to obtain different materialities of sound. She places electronic components and control voltages in different situations of interaction with her body, organic materials and environmental stimuli. Vreme Moser’s works feature personal narrations and observations on the history of electronics and their production chains, wastelands and entanglements in the natural world.",Ask about their work in Panel Discussion and possible exchange or residency ideas with hosq in Armenia.,https://www.ioanavrememoser.com
Iohanna Nicenboim,,https://www.instagram.com/iohanna.nicenboim/,Performer,"AR Argentina, NL Netherlands",,Performance – Where perception happens; Project – Distributed Agencies: Reimagining Personhood and Identity; Performance – What we can hear and cannot understand; Performance – The speculative edge,Definitely,"Iohanna Nicenboim is a design researcher from the Global South whose work bridges art, design, ecology and Artificial Intelligence. She completed her PhD with honors as a Microsoft Research PhD Fellow at Delft University of Technology, focusing on More-than-Human Design in Practice. Her research explores Regenerative AI through experimental, practice-based and feminist perspectives.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,https://iohanna.com/
Ionian Academy,,,Musician / Performer,GR,,Concert – DodekaOTTO Open-Air Listening Experience,Definitely,"Contributor to “DodekaOTTO Open-Air Listening Experience”: Installed in the garden of the Anton Bruckner University, the DodekaOTTO Listening Experience invites visitors to encounter spatial music in an open-air setting.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
